block,comparison,region,metric,delta,p_wilcoxon_raw,p_wilcoxon_holm,p_ttest,direction,significant,n_nonzero
S2 factorial,GN + TanhExp vs IN + LeakyReLU,TC,Dice,-0.013856022273432633,4.0429748437986746e-10,1.2128924531396024e-09,0.0884239927979854,worse,yes,217
S2 factorial,GN + TanhExp vs IN + LeakyReLU,WT,Dice,0.01238610919258576,0.09915520854872284,0.19831041709744568,0.22429508141751775,better,no,219
S2 factorial,GN + TanhExp vs IN + LeakyReLU,ET,HD95,7.158392493703538,0.024772639617670844,0.04954527923534169,0.21812373614135228,worse,yes,88
S2 factorial,GN + TanhExp vs IN + LeakyReLU,TC,HD95,0.36256996772098304,4.660985398086126e-06,1.3982956194258378e-05,0.9249416599408395,worse,yes,110
S2 factorial,GN + TanhExp vs IN + LeakyReLU,WT,HD95,-6.022613494744995,0.28073936877730654,0.28073936877730654,0.14115085650846404,better,no,115
S3 batch size,"BN + LeakyReLU, batch 8 vs batch 2",ET,Dice,-0.010133002360215526,0.4371212608567294,0.7632363732904932,0.49885492272776033,worse,no,204
S3 batch size,"BN + LeakyReLU, batch 8 vs batch 2",TC,Dice,-0.008059420070939738,0.3816181866452466,0.7632363732904932,0.3466711686084789,worse,no,215
S3 batch size,"BN + LeakyReLU, batch 8 vs batch 2",WT,Dice,-0.005839569893025476,0.001262255745255958,0.003786767235767874,0.5752512212991591,worse,yes,219
S3 batch size,"BN + LeakyReLU, batch 8 vs batch 2",ET,HD95,7.263271088216861,0.2717880656426215,0.543576131285243,0.2394698239252009,worse,no,108
S3 batch size,"BN + LeakyReLU, batch 8 vs batch 2",TC,HD95,3.889189422472306,0.39323361653578726,0.543576131285243,0.3417480885773718,worse,no,113
S3 batch size,"BN + LeakyReLU, batch 8 vs batch 2",WT,HD95,1.3868238796025452,0.09544713209149158,0.28634139627447475,0.7520416276463617,worse,no,138
S3 batch size,"GN + LeakyReLU, batch 8 vs batch 2",ET,Dice,-0.014952120109958944,3.9527282336138114e-06,3.9527282336138114e-06,0.3103468886333236,worse,yes,203
S3 batch size,"GN + LeakyReLU, batch 8 vs batch 2",TC,Dice,-0.031360538704448326,3.2514435588382185e-11,9.754330676514655e-11,0.0013919435097449356,worse,yes,215
S3 batch size,"GN + LeakyReLU, batch 8 vs batch 2",WT,Dice,0.002828523881766465,3.4526200121121065e-08,6.905240024224213e-08,0.8058234486491016,better,yes,219
S3 batch size,"GN + LeakyReLU, batch 8 vs batch 2",ET,HD95,6.431985287369457,0.011781802544407416,0.011781802544407416,0.2879187977817864,worse,yes,112
S3 batch size,"GN + LeakyReLU, batch 8 vs batch 2",TC,HD95,8.256366116797178,2.5030781172219463e-06,7.509234351665839e-06,0.054912632287927234,worse,yes,128
S3 batch size,"GN + LeakyReLU, batch 8 vs batch 2",WT,HD95,-1.9883465400944011,0.0002780635374639573,0.0005561270749279146,0.6746068301908958,better,yes,147
S3 batch size,"BN + LeakyReLU, batch 8 vs IN + LeakyReLU",ET,Dice,-0.026016239874839586,0.038873041468152625,0.07774608293630525,0.022402390012628923,worse,no,201
S3 batch size,"BN + LeakyReLU, batch 8 vs IN + LeakyReLU",TC,Dice,-0.026537544322792983,7.747344425101943e-06,2.324203327530583e-05,0.00915971226062121,worse,yes,215
S3 batch size,"BN + LeakyReLU, batch 8 vs IN + LeakyReLU",WT,Dice,0.019416785835808192,0.10025122217652593,0.10025122217652593,0.12111141368816569,better,no,219
S3 batch size,"BN + LeakyReLU, batch 8 vs IN + LeakyReLU",ET,HD95,13.106097707375625,0.0035764492255156988,0.009168646788970225,0.009460579476499314,worse,yes,94
S3 batch size,"BN + LeakyReLU, batch 8 vs IN + LeakyReLU",TC,HD95,6.099470268517404,0.0030562155963234083,0.009168646788970225,0.1847702262095965,worse,yes,117
S3 batch size,"BN + LeakyReLU, batch 8 vs IN + LeakyReLU",WT,HD95,-8.994001744357114,0.6450100667621768,0.6450100667621768,0.09025658638243417,better,no,144
S3 batch size,"BN + LeakyReLU, batch 8 vs GN + LeakyReLU, batch 8",ET,Dice,0.014941355040604787,0.011910137949124433,0.01598427555180848,0.32721741266193216,better,yes,204
S3 batch size,"BN + LeakyReLU, batch 8 vs GN + LeakyReLU, batch 8",TC,Dice,0.02674824344205773,1.2146021739489754e-06,3.6438065218469262e-06,0.017219356049326787,better,yes,216
S3 batch size,"BN + LeakyReLU, batch 8 vs GN + LeakyReLU, batch 8",WT,Dice,-0.011907432902512505,0.00799213777590424,0.01598427555180848,0.2942772090502461,worse,yes,219
S3 batch size,"BN + LeakyReLU, batch 8 vs GN + LeakyReLU, batch 8",ET,HD95,-5.819780959740662,0.16693754416755757,0.16693754416755757,0.3522411038541825,better,no,102
S3 batch size,"BN + LeakyReLU, batch 8 vs GN + LeakyReLU, batch 8",TC,HD95,-9.538768110405591,0.006162140689510487,0.01848642206853146,0.040007906143084214,better,yes,122
S3 batch size,"BN + LeakyReLU, batch 8 vs GN + LeakyReLU, batch 8",WT,HD95,4.383537078674067,0.03311361901872534,0.06622723803745068,0.3530940548691185,worse,no,138
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, LeakyReLU",ET,Dice,-0.0022337568174726,0.0364546146775803,0.1400157888122937,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, PReLU",ET,Dice,-0.0089401205333344,0.284945931663136,0.569891863326272,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, ReLU",ET,Dice,-0.0091450501557507,0.0190420042658572,0.0952100213292861,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, Swish",ET,Dice,-0.0130116727116449,0.0350039472030734,0.1400157888122937,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, TanhExp",ET,Dice,-0.0040688016241301,0.3130698272740866,0.569891863326272,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","GN vs IN, LeakyReLU",ET,Dice,-0.0045385120349078,0.2632456769306106,0.8441845691760292,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","GN vs IN, PReLU",ET,Dice,-0.0019370231635525,0.302638486066062,0.8441845691760292,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","GN vs IN, ReLU",ET,Dice,-0.0016215043194925,0.6902079983494129,0.8441845691760292,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","GN vs IN, Swish",ET,Dice,-0.0068219522262535,0.0296838578406162,0.1484192892030811,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","GN vs IN, TanhExp",ET,Dice,0.0047789321617982,0.2110461422940073,0.8441845691760292,,better,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, LeakyReLU",TC,Dice,-0.0065660532130261,0.0265368471820521,0.0530736943641043,,worse,no,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, PReLU",TC,Dice,-0.0164920371633104,8.147661067159362e-06,4.073830533579681e-05,,worse,yes,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, ReLU",TC,Dice,-0.0155764072426458,0.0001832261694709,0.0007329046778838,,worse,yes,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, Swish",TC,Dice,-0.0193218106173498,0.0003137819754222,0.0009413459262666,,worse,yes,73
"S4 Arm A normalisation (residual U-Net, BraTS 2020)","BN vs IN, TanhExp",TC,Dice,-0.0150188318222674,0.0276814753848526,0.0530736943641043,,worse,no,73
